model,scenario,category,netzero_co2_year,cum_co2_gt,cum_co2e_gt,ratio
COFFEE 1.1,EN_NPi2020_900f,C4,2070.7,1213.49,1773.22,1.4613
GCAM 5.2,"NGFS1_Immediate 2C with CDR (Orderly, Rep)",C4,2057.8,661.36,1136.01,1.7177
GCAM 5.3,NGFS2_Delayed Transition,C4,2056.3,907.46,1426.12,1.5716
GCAM 5.3,R_MAC_35_n0,C3,2035.0,292.89,464.73,1.5867
GCAM 5.3,R_MAC_40_n0,C3,2040.0,389.42,621.54,1.5961
GCAM 5.3,R_MAC_45_n0,C3,2045.0,485.96,779.28,1.6036
GCAM 5.3,R_MAC_50_n0,C3,2050.0,582.5,938.79,1.6117
GCAM 5.3,R_MAC_55_n0,C3,2055.0,679.04,1098.15,1.6172
GCAM 5.3,R_MAC_60_n0,C3,2060.0,775.57,1258.87,1.6232
GCAM 5.3,R_MAC_65_n0,C3,2065.0,872.1,1419.67,1.6279
GCAM 5.3,R_MAC_65_n8,C3,2057.3,722.96,1168.27,1.6159
GCAM 5.3,R_MAC_70_n0,C4,2070.0,968.64,1581.7,1.6329
GCAM 5.3,R_MAC_70_n8,C3,2061.4,802.89,1299.61,1.6187
GCAM 5.3,R_MAC_75_n0,C4,2075.0,1065.18,1743.73,1.637
GCAM 5.3,R_MAC_75_n8,C3,2065.6,882.84,1442.76,1.6342
GCAM 5.3,R_MAC_80_n0,C4,2080.0,1161.72,1906.6,1.6412
GCAM 5.3,R_MAC_80_n8,C4,2069.7,962.88,1575.43,1.6362
GCAM 5.3,R_MAC_85_n8,C4,2073.8,1042.87,1707.7,1.6375
GCAM 5.3,R_MAC_90_n8,C4,2078.0,1122.85,1841.26,1.6398
GCAM 5.3,R_MAC_95_n8,C4,2082.1,1202.82,1974.38,1.6415
GCAM 5.3,SSP_SSP2,C3,2053.1,639.67,1038.76,1.6239
GCAM 5.3,SSP_SSP5,C3,2053.1,639.75,1065.68,1.6658
GEM-E3_V2021,EN_INDCi2030_1000,C3,2070.0,935.01,1440.25,1.5404
GEM-E3_V2021,EN_INDCi2030_1000_COV,C3,2070.0,935.99,1422.86,1.5202
GEM-E3_V2021,EN_INDCi2030_1000_COV_NDCp,C3,2075.0,940.87,1463.9,1.5559
GEM-E3_V2021,EN_INDCi2030_1000f,C4,2071.1,1061.47,1609.25,1.5161
GEM-E3_V2021,EN_INDCi2030_1000f_COV,C3,2072.0,1042.51,1573.05,1.5089
GEM-E3_V2021,EN_INDCi2030_1000f_COV_NDCp,C3,2072.4,1034.63,1564.78,1.5124
GEM-E3_V2021,EN_INDCi2030_1000f_NDCp,C4,2071.0,1061.7,1609.39,1.5159
GEM-E3_V2021,EN_INDCi2030_1400,C4,2095.0,1337.29,2131.85,1.5942
GEM-E3_V2021,EN_INDCi2030_1400f,C4,2090.5,1348.38,2108.54,1.5638
GEM-E3_V2021,EN_INDCi2030_800,C3,2055.8,736.48,1095.3,1.4872
GEM-E3_V2021,EN_NPi2020_1000,C3,2075.0,938.22,1495.81,1.5943
GEM-E3_V2021,EN_NPi2020_1000_COV,C3,2075.0,940.29,1484.19,1.5784
GEM-E3_V2021,EN_NPi2020_1000f,C4,2072.8,1035.14,1610.29,1.5556
GEM-E3_V2021,EN_NPi2020_1000f_COV,C3,2073.9,1013.68,1574.45,1.5532
GEM-E3_V2021,EN_NPi2020_1400f,C4,2091.7,1343.65,2132.48,1.5871
GEM-E3_V2021,EN_NPi2020_800,C3,2065.0,731.72,1166.4,1.5941
GEM-E3_V2021,EN_NPi2020_800f,C3,2067.4,901.64,1397.19,1.5496
IMAGE 3.0,CO_2Deg2020,C3,2077.1,875.31,1410.7,1.6116
IMAGE 3.0,CO_2Deg2030,C3,2069.0,920.51,1435.11,1.559
IMAGE 3.0,CO_Bridge,C3,2060.0,795.37,1181.11,1.485
IMAGE 3.0,EN_INDCi2030_1000,C4,2098.3,897.54,1720.96,1.9174
IMAGE 3.0,EN_INDCi2030_1000f,C4,2068.0,1085.08,1598.06,1.4728
IMAGE 3.0,EN_INDCi2030_1200,C4,2089.0,1130.83,1801.58,1.5931
IMAGE 3.0,EN_INDCi2030_1200f,C4,2075.3,1227.62,1779.51,1.4496
IMAGE 3.0,EN_INDCi2030_1400f,C4,2083.2,1395.78,2021.52,1.4483
IMAGE 3.0,EN_INDCi2030_800f,C3,2064.2,880.42,1356.28,1.5405
IMAGE 3.0,EN_NPi2020_1000,C3,2090.8,957.42,1611.29,1.6829
IMAGE 3.0,EN_NPi2020_1000f,C3,2078.0,1009.01,1559.01,1.5451
IMAGE 3.0,EN_NPi2020_1200,C4,2089.9,1123.03,1784.64,1.5891
IMAGE 3.0,EN_NPi2020_1200f,C4,2084.1,1169.64,1777.77,1.5199
IMAGE 3.0,EN_NPi2020_1400,C4,2095.4,1309.95,2024.86,1.5458
